Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
2020-01-30,Kerala,1,0,0,10.8505,76.2711,0,1
2020-01-31,Kerala,1,0,0,10.8505,76.2711,0,1
2020-02-01,Kerala,2,0,0,10.8505,76.2711,0,2
2020-02-02,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-03,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-04,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-05,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-06,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-07,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-08,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-09,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-10,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-11,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-12,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-13,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-14,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-15,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-16,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-17,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-18,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-19,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-20,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-21,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-22,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-23,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-24,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-25,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-26,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-27,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-28,Kerala,3,0,0,10.8505,76.2711,0,3
2020-02-29,Kerala,3,0,0,10.8505,76.2711,0,3
2020-03-01,Kerala,3,0,0,10.8505,76.2711,0,3
2020-03-02,Delhi,1,0,0,28.7041,77.1025,0,1
2020-03-02,Kerala,3,0,0,10.8505,76.2711,0,3
2020-03-02,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-03,Delhi,1,0,0,28.7041,77.1025,0,1
2020-03-03,Kerala,3,0,3,10.8505,76.2711,0,3
2020-03-03,Rajasthan,0,0,0,27.0238,74.2179,0,0
2020-03-03,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-04,Delhi,1,0,0,28.7041,77.1025,0,1
2020-03-04,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-04,Kerala,3,0,3,10.8505,76.2711,0,3
2020-03-04,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-04,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-04,Uttar Pradesh,6,0,0,26.8467,80.9462,0,6
2020-03-05,Delhi,2,0,0,28.7041,77.1025,0,2
2020-03-05,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-05,Kerala,3,0,3,10.8505,76.2711,0,3
2020-03-05,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-05,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-05,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
2020-03-06,Delhi,3,0,0,28.7041,77.1025,0,3
2020-03-06,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-06,Kerala,3,0,3,10.8505,76.2711,0,3
2020-03-06,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-06,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-06,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
2020-03-07,Delhi,3,0,0,28.7041,77.1025,0,3
2020-03-07,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-07,Kerala,3,0,3,10.8505,76.2711,0,3
2020-03-07,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-07,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-07,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-07,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
2020-03-07,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
2020-03-08,Delhi,3,0,0,28.7041,77.1025,0,3
2020-03-08,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-08,Kerala,8,0,3,10.8505,76.2711,0,8
2020-03-08,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-08,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-08,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-08,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
2020-03-08,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
2020-03-09,Delhi,4,0,0,28.7041,77.1025,0,4
2020-03-09,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-09,Karnataka,1,0,0,15.3173,75.7139,0,1
2020-03-09,Kerala,9,0,3,10.8505,76.2711,0,9
2020-03-09,Maharashtra,2,0,0,19.7515,75.7139,0,2
2020-03-09,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-09,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-09,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-09,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-09,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
2020-03-09,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
2020-03-09,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
2020-03-10,Delhi,4,0,0,28.7041,77.1025,0,4
2020-03-10,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-10,Karnataka,4,0,0,15.3173,75.7139,0,4
2020-03-10,Kerala,15,0,3,10.8505,76.2711,0,15
2020-03-10,Maharashtra,5,0,0,19.7515,75.7139,0,5
2020-03-10,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-10,Rajasthan,1,0,0,27.0238,74.2179,0,1
2020-03-10,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-10,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-10,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
2020-03-10,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
2020-03-10,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
2020-03-11,Delhi,5,0,0,28.7041,77.1025,0,5
2020-03-11,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-11,Karnataka,4,0,0,15.3173,75.7139,0,4
2020-03-11,Kerala,17,0,3,10.8505,76.2711,0,17
2020-03-11,Maharashtra,10,0,0,19.7515,75.7139,0,10
2020-03-11,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-11,Rajasthan,1,2,0,27.0238,74.2179,0,3
2020-03-11,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-11,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-11,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
2020-03-11,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
2020-03-11,Uttar Pradesh,9,0,0,26.8467,80.9462,0,9
2020-03-12,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-12,Delhi,6,0,0,28.7041,77.1025,0,6
2020-03-12,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-12,Karnataka,4,0,0,15.3173,75.7139,1,4
2020-03-12,Kerala,17,0,3,10.8505,76.2711,0,17
2020-03-12,Maharashtra,11,0,0,19.7515,75.7139,0,11
2020-03-12,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-12,Rajasthan,1,2,0,27.0238,74.2179,0,3
2020-03-12,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-12,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-12,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
2020-03-12,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
2020-03-12,Uttar Pradesh,10,1,0,26.8467,80.9462,0,11
2020-03-13,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-13,Delhi,6,0,0,28.7041,77.1025,0,6
2020-03-13,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-13,Karnataka,5,0,0,15.3173,75.7139,1,5
2020-03-13,Kerala,17,0,3,10.8505,76.2711,0,17
2020-03-13,Maharashtra,11,0,0,19.7515,75.7139,0,11
2020-03-13,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-13,Rajasthan,1,2,0,27.0238,74.2179,0,3
2020-03-13,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-13,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-13,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
2020-03-13,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
2020-03-13,Uttar Pradesh,10,1,0,26.8467,80.9462,0,11
2020-03-14,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-14,Delhi,7,0,1,28.7041,77.1025,1,7
2020-03-14,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-14,Karnataka,6,0,0,15.3173,75.7139,1,6
2020-03-14,Kerala,19,0,3,10.8505,76.2711,0,19
2020-03-14,Maharashtra,14,0,0,19.7515,75.7139,0,14
2020-03-14,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-14,Rajasthan,1,2,1,27.0238,74.2179,0,3
2020-03-14,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-14,Telengana,1,0,0,18.1124,79.0193,0,1
2020-03-14,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0,2
2020-03-14,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
2020-03-14,Uttar Pradesh,11,1,5,26.8467,80.9462,0,12
2020-03-15,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-15,Delhi,7,0,2,28.7041,77.1025,1,7
2020-03-15,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-15,Karnataka,6,0,0,15.3173,75.7139,1,6
2020-03-15,Kerala,23,0,3,10.8505,76.2711,0,23
2020-03-15,Maharashtra,32,0,0,19.7515,75.7139,0,32
2020-03-15,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-15,Rajasthan,2,2,3,27.0238,74.2179,0,4
2020-03-15,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-15,Telengana,3,0,1,18.1124,79.0193,0,3
2020-03-15,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0,2
2020-03-15,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
2020-03-15,Uttar Pradesh,12,1,4,26.8467,80.9462,0,13
2020-03-15,Uttarakhand,1,0,0,30.0668,79.0193,0,1
2020-03-16,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-16,Delhi,7,0,2,28.7041,77.1025,1,7
2020-03-16,Haryana,0,14,0,29.0588,76.0856,0,14
2020-03-16,Karnataka,6,0,0,15.3173,75.7139,1,6
2020-03-16,Kerala,23,0,3,10.8505,76.2711,0,23
2020-03-16,Maharashtra,32,0,0,19.7515,75.7139,0,32
2020-03-16,Odisha,1,0,0,20.9517,85.0985,0,1
2020-03-16,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-16,Rajasthan,2,2,3,27.0238,74.2179,0,4
2020-03-16,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-16,Telengana,3,0,1,18.1124,79.0193,0,3
2020-03-16,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,3
2020-03-16,Union Territory of Ladakh,4,0,0,34.2996,78.2932,0,4
2020-03-16,Uttar Pradesh,12,1,4,26.8467,80.9462,0,13
2020-03-16,Uttarakhand,1,0,0,30.0668,79.0193,0,1
2020-03-17,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-17,Delhi,8,0,2,28.7041,77.1025,1,8
2020-03-17,Haryana,1,14,0,29.0588,76.0856,0,15
2020-03-17,Karnataka,11,0,0,15.3173,75.7139,1,11
2020-03-17,Kerala,24,2,3,10.8505,76.2711,0,26
2020-03-17,Maharashtra,36,3,0,19.7515,75.7139,1,39
2020-03-17,Odisha,1,0,0,20.9517,85.0985,0,1
2020-03-17,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-17,Rajasthan,2,2,3,27.0238,74.2179,0,4
2020-03-17,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-17,Telengana,3,2,1,18.1124,79.0193,0,5
2020-03-17,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,3
2020-03-17,Union Territory of Ladakh,6,0,0,34.2996,78.2932,0,6
2020-03-17,Uttar Pradesh,14,1,5,26.8467,80.9462,0,15
2020-03-17,Uttarakhand,1,0,0,30.0668,79.0193,0,1
2020-03-18,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
2020-03-18,Delhi,9,1,2,28.7041,77.1025,1,10
2020-03-18,Haryana,3,14,0,29.0588,76.0856,0,17
2020-03-18,Karnataka,11,0,0,15.3173,75.7139,1,11
2020-03-18,Kerala,25,2,3,10.8505,76.2711,0,27
2020-03-18,Maharashtra,39,3,0,19.7515,75.7139,1,42
2020-03-18,Odisha,1,0,0,20.9517,85.0985,0,1
2020-03-18,Puducherry,1,0,0,11.9416,79.8083,0,1
2020-03-18,Punjab,1,0,0,31.1471,75.3412,0,1
2020-03-18,Rajasthan,2,2,3,27.0238,74.2179,0,4
2020-03-18,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
2020-03-18,Telengana,4,2,1,18.1124,79.0193,0,6
2020-03-18,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,3
2020-03-18,Union Territory of Ladakh,8,0,0,34.2996,78.2932,0,8
2020-03-18,Uttar Pradesh,15,1,5,26.8467,80.9462,0,16
2020-03-18,Uttarakhand,1,0,0,30.0668,79.0193,0,1
2020-03-18,West Bengal,1,0,0,22.9868,87.855,0,1
2020-03-19,Andhra Pradesh,2,0,0,15.9129,79.74,0,2
2020-03-19,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
2020-03-19,Delhi,11,1,3,28.7041,77.1025,1,12
2020-03-19,Haryana,3,14,0,29.0588,76.0856,0,17
2020-03-19,Karnataka,14,0,0,15.3173,75.7139,1,14
2020-03-19,Kerala,25,2,3,10.8505,76.2711,0,27
2020-03-19,Maharashtra,44,3,0,19.7515,75.7139,1,47
2020-03-19,Odisha,1,0,0,20.9517,85.0985,0,1
2020-03-19,Puducherry,1,0,0,11.9416,79.8083,0,1
2020-03-19,Punjab,2,0,0,31.1471,75.3412,1,2
2020-03-19,Rajasthan,5,2,3,27.0238,74.2179,0,7
2020-03-19,Tamil Nadu,2,0,1,11.1271,78.6569,0,2
2020-03-19,Telengana,4,2,1,18.1124,79.0193,0,6
2020-03-19,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
2020-03-19,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
2020-03-19,Union Territory of Ladakh,8,0,0,34.2996,78.2932,0,8
2020-03-19,Uttar Pradesh,18,1,9,26.8467,80.9462,0,19
2020-03-19,Uttarakhand,1,0,0,30.0668,79.0193,0,1
2020-03-19,West Bengal,1,0,0,22.9868,87.855,0,1
2020-03-20,Andhra Pradesh,2,0,0,15.9129,79.74,0,2
2020-03-20,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
2020-03-20,Delhi,16,1,3,28.7041,77.1025,1,17
2020-03-20,Gujarat,2,0,0,22.2587,71.1924,0,2
2020-03-20,Haryana,3,14,0,29.0588,76.0856,0,17
2020-03-20,Karnataka,15,0,0,15.3173,75.7139,1,15
2020-03-20,Kerala,26,2,3,10.8505,76.2711,0,28
2020-03-20,Maharashtra,44,3,0,19.7515,75.7139,1,47
2020-03-20,Odisha,1,0,0,20.9517,85.0985,0,1
2020-03-20,Puducherry,1,0,0,11.9416,79.8083,0,1
2020-03-20,Punjab,2,0,0,31.1471,75.3412,1,2
2020-03-20,Rajasthan,5,2,3,27.0238,74.2179,0,7
2020-03-20,Tamil Nadu,3,0,1,11.1271,78.6569,0,3
2020-03-20,Telengana,7,9,1,18.1124,79.0193,0,16
2020-03-20,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
2020-03-20,Union Territory of Ladakh,10,0,0,34.2996,78.2932,0,10
2020-03-20,Uttar Pradesh,18,1,9,26.8467,80.9462,0,19
2020-03-20,Uttarakhand,1,0,0,30.0668,79.0193,0,1
2020-03-20,West Bengal,1,0,0,22.9868,87.855,0,1
2020-03-21,Andhra Pradesh,3,0,0,15.9129,79.74,0,3
2020-03-21,Chandigarh,1,0,0,30.7333,76.7794,0,1
2020-03-21,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
2020-03-21,Delhi,25,1,5,28.7041,77.1025,1,26
2020-03-21,Gujarat,7,0,0,22.2587,71.1924,0,7
2020-03-21,Haryana,3,14,0,29.0588,76.0856,0,17
2020-03-21,Himachal Pradesh,2,0,0,31.1048,77.1734,0,2
2020-03-21,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
2020-03-21,Karnataka,15,0,1,15.3173,75.7139,1,15
2020-03-21,Kerala,33,7,3,10.8505,76.2711,0,40
2020-03-21,Ladakh,13,0,0,34.2996,78.2932,0,13
2020-03-21,Madhya Pradesh,4,0,0,22.9734,78.6569,0,4
2020-03-21,Maharashtra,60,3,0,19.7515,75.7139,1,63
2020-03-21,Odisha,2,0,0,20.9517,85.0985,0,2
2020-03-21,Puducherry,1,0,0,11.9416,79.8083,0,1
2020-03-21,Punjab,13,0,0,31.1471,75.3412,1,13
2020-03-21,Rajasthan,15,2,3,27.0238,74.2179,0,17
2020-03-21,Tamil Nadu,3,0,1,11.1271,78.6569,0,3
2020-03-21,Telengana,10,11,1,18.1124,79.0193,0,21
2020-03-21,Uttar Pradesh,23,1,9,26.8467,80.9462,0,24
2020-03-21,Uttarakhand,3,0,0,30.0668,79.0193,0,3
2020-03-21,West Bengal,3,0,0,22.9868,87.855,0,3
2020-03-22,Andhra Pradesh,5,0,0,15.9129,79.74,0,5
2020-03-22,Bihar,2,0,0,25.0961,85.3131,1,2
2020-03-22,Chandigarh,5,0,0,30.7333,76.7794,0,5
2020-03-22,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
2020-03-22,Delhi,28,1,5,28.7041,77.1025,1,29
2020-03-22,Gujarat,18,0,0,22.2587,71.1924,1,18
2020-03-22,Haryana,7,14,0,29.0588,76.0856,0,21
2020-03-22,Himachal Pradesh,2,0,0,31.1048,77.1734,0,2
2020-03-22,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
2020-03-22,Karnataka,26,0,2,15.3173,75.7139,1,26
2020-03-22,Kerala,45,7,3,10.8505,76.2711,0,52
2020-03-22,Ladakh,13,0,0,34.2996,78.2932,0,13
2020-03-22,Madhya Pradesh,4,0,0,22.9734,78.6569,0,4
2020-03-22,Maharashtra,64,3,0,19.7515,75.7139,2,67
2020-03-22,Odisha,2,0,0,20.9517,85.0985,0,2
2020-03-22,Puducherry,1,0,0,11.9416,79.8083,0,1
2020-03-22,Punjab,21,0,0,31.1471,75.3412,1,21
2020-03-22,Rajasthan,22,2,3,27.0238,74.2179,0,24
2020-03-22,Tamil Nadu,5,2,1,11.1271,78.6569,0,7
2020-03-22,Telengana,11,11,1,18.1124,79.0193,0,22
2020-03-22,Uttar Pradesh,26,1,9,26.8467,80.9462,0,27
2020-03-22,Uttarakhand,3,0,0,30.0668,79.0193,0,3
2020-03-22,West Bengal,4,0,0,22.9868,87.855,0,4
2020-03-23,Andhra Pradesh,7,0,0,15.9129,79.74,0,7
2020-03-23,Bihar,2,0,0,25.0961,85.3131,1,2
2020-03-23,Chandigarh,6,0,0,30.7333,76.7794,0,6
2020-03-23,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
2020-03-23,Delhi,28,1,5,28.7041,77.1025,1,29
2020-03-23,Gujarat,29,0,0,22.2587,71.1924,1,29
2020-03-23,Haryana,12,14,11,29.0588,76.0856,0,26
2020-03-23,Himachal Pradesh,2,0,0,31.1048,77.1734,0,2
2020-03-23,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
2020-03-23,Karnataka,33,0,2,15.3173,75.7139,1,33
2020-03-23,Kerala,60,7,3,10.8505,76.2711,0,67
